Codi_Districte,Nom_Districte,Nom_Carrer,title,size,price,Vigilancia,Columnas,Tipo plaza,Puerta,Planta,Ciudad,Personas,Promedio_Euros,Vehicles
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",6 m²,7.900 €,No,None,None,None,None," Barcelona",183770,14625.3931623932,79559
7,Horta-Guinardó,Pl Clota,"Garaje en calle Clot, Navas, Barcelona",11 m²,14.600 €,No,None,None,None,None," Barcelona",172109,15152.3170731707,80895
6,Gràcia,Santa Clotilde,"Garaje en calle Clot, Navas, Barcelona",11 m²,14.600 €,No,None,None,None,None," Barcelona",121915,18340.7471264368,57643
9,Sant Andreu,Clot,"Garaje en calle Clot, Navas, Barcelona",11 m²,14.600 €,No,None,None,None,None," Barcelona",149826,15124.7473684211,65745
10,Sant Martí,Clot,"Garaje en calle Clot, Navas, Barcelona",11 m²,14.600 €,No,None,None,None,None," Barcelona",239465,15323.0884353741,103094
6,Gràcia,Clotés,"Garaje en calle Clot, Navas, Barcelona",11 m²,14.600 €,No,None,None,None,None," Barcelona",121915,18340.7471264368,57643
6,Gràcia,Pl Vila de Gràcia,"Garaje en Vila de Gràcia, Barcelona",14 m²,31.000 €,Si,None,grande,automática,None," Barcelona",121915,18340.7471264368,57643
8,Nou Barris,Pg Verdum,"Garaje en Verdum, Barcelona",12 m²,19.000 €,No,None,None,None,None," Barcelona",170736,12431.811965812,66780
8,Nou Barris,Pl Verdum,"Garaje en Verdum, Barcelona",12 m²,19.000 €,No,None,None,None,None," Barcelona",170736,12431.811965812,66780
3,Sants-Montjuïc,Carrera,"Garaje en calle Carrera, El Poble Sec - Parc de Montjuïc, Barcelona",10 m²,12.000 €,No,None,pequeño,None,planta -2," Barcelona",183770,14625.3931623932,79559
3,Sants-Montjuïc,Carreras i Candi,"Garaje en calle Carrera, El Poble Sec - Parc de Montjuïc, Barcelona",10 m²,12.000 €,No,None,pequeño,None,planta -2," Barcelona",183770,14625.3931623932,79559
8,Nou Barris,Ptge Carreras,"Garaje en calle Carrera, El Poble Sec - Parc de Montjuïc, Barcelona",10 m²,12.000 €,No,None,pequeño,None,planta -2," Barcelona",170736,12431.811965812,66780
4,Les Corts,Carreras,"Garaje en calle Carrera, El Poble Sec - Parc de Montjuïc, Barcelona",10 m²,12.000 €,No,None,pequeño,None,planta -2," Barcelona",81074,22022.0350877193,48622
