"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"03074","836","971","186","160","1045","416","1451","77","279","07-05-2023 10:00:04"
"03075","846","919","202","185","997","381","1329","68","368","07-05-2023 10:00:04"
"03076","500","564","105","82","574","303","838","37","189","07-05-2023 10:00:04"
"03077","633","755","139","137","790","322","1082","59","247","07-05-2023 10:00:04"
"03078","853","930","178","174","1097","334","1237","106","440","07-05-2023 10:00:04"
"03079","847","979","209","174","1119","324","1262","82","482","07-05-2023 10:00:04"
"03080","712","839","146","145","861","399","1220","56","275","07-05-2023 10:00:04"
"03081","911","1071","181","227","1106","468","1482","57","443","07-05-2023 10:00:04"
"03082","889","1017","195","185","1105","421","1508","65","333","07-05-2023 10:00:04"
"03083","648","733","147","102","783","349","1133","34","214","07-05-2023 10:00:04"
"03084","638","772","138","125","719","428","1204","43","163","07-05-2023 10:00:04"
"03085","612","709","161","86","773","301","1053","63","205","07-05-2023 10:00:04"
"03086","597","662","124","102","625","408","1106","40","113","07-05-2023 10:00:04"
"03087","690","783","155","132","782","404","1235","40","198","07-05-2023 10:00:04"
"03088","657","748","161","118","756","370","1135","73","197","07-05-2023 10:00:04"
"03089","574","687","130","96","677","358","1073","78","110","07-05-2023 10:00:04"
"03090","466","536","92","93","577","240","858","37","107","07-05-2023 10:00:04"
"03091","710","773","155","152","906","270","1165","83","235","07-05-2023 10:00:04"
"03092","583","639","140","102","736","244","959","84","179","07-05-2023 10:00:04"
"03093","679","806","124","157","818","386","1275","54","156","07-05-2023 10:00:04"
"03094","568","656","124","102","713","285","1025","64","135","07-05-2023 10:00:04"
"03095","767","833","162","136","968","334","1271","90","239","07-05-2023 10:00:04"
"03096","741","862","172","144","1030","257","1208","100","295","07-05-2023 10:00:04"
"03097","749","866","178","133","1108","196","1100","101","414","07-05-2023 10:00:04"
"03098","729","725","167","142","914","231","1082","95","277","07-05-2023 10:00:04"
"03099","448","565","122","78","653","160","794","77","142","07-05-2023 10:00:04"
"03100","578","703","154","113","752","262","960","97","224","07-05-2023 10:00:04"
"03101","3888","2858","762","847","4638","499","2168","331","4247","07-05-2023 10:00:04"
"03102","648","696","158","110","804","272","1032","68","244","07-05-2023 10:00:04"
